0.38799998,0.42999995,0.51557904,0.06914957,STK,368,6251,not normalized,100
0.742,0.679,0.87665176,0.087386705,STK,368,6251,normalized,100
0.41399997,0.445,0.5077799,0.07455551,STK,282,9080,not normalized,100
0.746,0.698,0.89051086,0.086698815,STK,282,9080,normalized,100
0.35000002,0.37400004,0.48707268,0.058323774,STK,202,8241,not normalized,100
0.6560001,0.61899996,0.7935094,0.08008108,STK,202,8241,normalized,100
0.39600003,0.414,0.5040991,0.086280175,STK,212,8828,not normalized,100
0.7460001,0.69100004,0.87130564,0.10658269,STK,212,8828,normalized,100
0.374,0.397,0.46538192,0.08818939,STK,252,55,not normalized,100
0.7379998,0.694,0.8273076,0.11013483,STK,252,55,normalized,100
0.39400005,0.432,0.53420824,0.07228718,STK,175,2084,not normalized,100
0.7759999,0.71900004,0.8536399,0.09310177,STK,175,2084,normalized,100
0.36600003,0.39200005,0.44079983,0.06748098,STK,197,1375,not normalized,100
0.67,0.62500006,0.79449797,0.08603385,STK,197,1375,normalized,100
0.38000003,0.38699996,0.46214446,0.067856684,STK,196,2802,not normalized,100
0.75799996,0.705,0.8924166,0.08424321,STK,196,2802,normalized,100
0.34000012,0.357,0.4638363,0.07487629,STK,211,3501,not normalized,100
0.7039999,0.64,0.8382306,0.09219957,STK,211,3501,normalized,100
0.31000003,0.33000004,0.4617481,0.04425369,STK,261,3389,not normalized,100
0.67399997,0.61899996,0.827188,0.059605483,STK,261,3389,normalized,100
0.336,0.32900003,0.41460103,0.11183483,STK,255,6251,not normalized,200
0.7219999,0.671,0.88121283,0.14671737,STK,255,6251,normalized,200
0.292,0.311,0.41877136,0.1053831,STK,211,9080,not normalized,200
0.74,0.697,0.87563413,0.13429889,STK,211,9080,normalized,200
0.29199997,0.305,0.42655048,0.080782264,STK,190,8241,not normalized,200
0.668,0.62700003,0.7999016,0.116693795,STK,190,8241,normalized,200
0.25800005,0.26000005,0.3735959,0.115984395,STK,183,8828,not normalized,200
0.748,0.68999994,0.8727529,0.15979595,STK,183,8828,normalized,200
0.30200002,0.303,0.38715795,0.111881554,STK,219,55,not normalized,200
0.74999994,0.7090001,0.8310117,0.15743236,STK,219,55,normalized,200
0.29800007,0.31100005,0.4431423,0.10399165,STK,204,2084,not normalized,200
0.7819999,0.72800004,0.8606033,0.14576596,STK,204,2084,normalized,200
0.28400004,0.3000001,0.4086992,0.09375282,STK,225,1375,not normalized,200
0.66800004,0.63,0.7982618,0.12838091,STK,225,1375,normalized,200
0.26600003,0.28300002,0.3837528,0.097177066,STK,209,2802,not normalized,200
0.77599996,0.72099996,0.90173805,0.13037762,STK,209,2802,normalized,200
0.232,0.256,0.34587878,0.10049162,STK,245,3501,not normalized,200
0.70199996,0.6319999,0.8251048,0.13954324,STK,245,3501,normalized,200
0.26600003,0.26700002,0.4233204,0.06388865,STK,206,3389,not normalized,200
0.69,0.64199996,0.8496017,0.09369683,STK,206,3389,normalized,200
0.16999996,0.20100002,0.3022466,0.12235709,STK,298,6251,not normalized,500
0.732,0.68499994,0.8787783,0.20687695,STK,298,6251,normalized,500
0.23999996,0.23600002,0.36125228,0.10088435,STK,258,9080,not normalized,500
0.74000007,0.70600015,0.88802016,0.17364202,STK,258,9080,normalized,500
0.21599999,0.23900007,0.31421986,0.09916115,STK,264,8241,not normalized,500
0.65199995,0.6280001,0.8007885,0.16900882,STK,264,8241,normalized,500
0.17800002,0.19000004,0.29890865,0.096504614,STK,246,8828,not normalized,500
0.734,0.68399996,0.861939,0.19539322,STK,246,8828,normalized,500
0.19399999,0.21200001,0.31328133,0.11381903,STK,301,55,not normalized,500
0.74799997,0.707,0.82277715,0.19498633,STK,301,55,normalized,500
0.23600002,0.23900007,0.3656947,0.0894905,STK,255,2084,not normalized,500
0.7720001,0.7220002,0.86743957,0.18495539,STK,255,2084,normalized,500
0.19800001,0.20699999,0.29171792,0.092348106,STK,10703,1375,not normalized,500
0.668,0.63600004,0.8061474,0.1693095,STK,10703,1375,normalized,500
0.18199997,0.19800004,0.30698907,0.09108296,STK,291,2802,not normalized,500
0.76600015,0.72200006,0.89714277,0.17266677,STK,291,2802,normalized,500
0.16599998,0.18000004,0.28710625,0.09617418,STK,406,3501,not normalized,500
0.69399995,0.6289999,0.8235937,0.18257643,STK,406,3501,normalized,500
0.17799999,0.19300003,0.2905425,0.070998386,STK,364,3389,not normalized,500
0.68200004,0.641,0.843968,0.140841,STK,364,3389,normalized,500
0.14199996,0.15100001,0.26882088,0.118350856,STK,394,6251,not normalized,1000
0.734,0.68399996,0.87629014,0.24319819,STK,394,6251,normalized,1000
0.18999997,0.195,0.2764204,0.091678716,STK,329,9080,not normalized,1000
0.72200006,0.69500005,0.88019806,0.19653372,STK,329,9080,normalized,1000
0.15799999,0.18000002,0.264449,0.10279635,STK,324,8241,not normalized,1000
0.6539999,0.62200004,0.8200934,0.20672955,STK,324,8241,normalized,1000
0.15999998,0.157,0.25620687,0.096501015,STK,313,8828,not normalized,1000
0.73800004,0.68399996,0.86155534,0.2308265,STK,313,8828,normalized,1000
0.15999997,0.16599998,0.2852221,0.10468724,STK,394,55,not normalized,1000
0.7459998,0.69700015,0.82048845,0.22383018,STK,394,55,normalized,1000
0.176,0.19000004,0.2717953,0.086422205,STK,305,2084,not normalized,1000
0.7699999,0.72900015,0.86160547,0.21522875,STK,305,2084,normalized,1000
0.17999998,0.18400002,0.2845721,0.09204988,STK,356,1375,not normalized,1000
0.67,0.635,0.81395876,0.19883485,STK,356,1375,normalized,1000
0.13599996,0.13999999,0.21821749,0.07897777,STK,336,2802,not normalized,1000
0.7640001,0.706,0.88773805,0.1897741,STK,336,2802,normalized,1000
0.15399998,0.16500004,0.25294167,0.1003926,STK,455,3501,not normalized,1000
0.69,0.6289999,0.83668864,0.21783951,STK,455,3501,normalized,1000
0.13999996,0.137,0.22647052,0.07608541,STK,356,3389,not normalized,1000
0.69000006,0.64599997,0.85085154,0.17589718,STK,356,3389,normalized,1000
